Batch3_1Day-T0_combined,Batch3_1Day_Suc-R2-T1_combined,Batch3_1Day_Suc-R2-T2_combined,Batch3_1Day_Suc-R2-T3_combined,Batch3_1Day_Suc-R2-T4_combined
2490,144,563,765,1557
42016,2950,16474,36719,103680
1557,97,673,1274,3001
900,41,161,393,1122
1479,121,671,1336,4732
1150,31,297,1299,6368
921,53,384,686,2116
10385,756,6293,19381,83280
872,43,239,660,1911
323,29,157,249,646
2360,83,306,487,1116
1611,58,269,478,1052
923,65,390,968,3126
758,40,132,225,499
51869,6112,35997,74087,227121
4671,409,2011,4057,10299
3953,151,525,636,1200
35561,926,4672,12926,40956
85,3,33,85,268
1699,95,428,1094,3073
411,18,104,178,501
686,56,321,809,2844
19345,1658,8949,16746,53177
3056,255,1351,2109,5451
4233,304,1399,1907,3751
2233,209,1385,3596,12050
2254,165,910,1501,3855
10134,734,4459,11471,36528
2148,124,432,646,1204
657,30,150,415,1205
16159,865,4989,9413,29748
2300,85,285,575,1222
5299,309,1363,2299,4838
0,0,0,0,0
4991,453,2044,2885,6250
166,9,41,67,184
6826,942,4984,8432,23505
777,49,191,326,645
529,9,54,107,216
109,2,18,37,70
1712,59,213,311,647
3363,125,604,937,1872
2401,171,749,1165,2166
2864,205,1295,2719,7157
601,47,285,675,1816
8691,504,2204,4542,12831
1346,74,307,443,1088
3865,313,1589,2918,7193
2921,249,1250,1983,4731
4679,206,943,2086,6178
1239,55,381,844,2513
522,9,144,228,397
1337,96,505,1040,3366
9421,784,4327,8463,27004
3149,194,715,1122,2198
3157,180,1055,1739,4051
3428,302,1390,1857,3923
10722,877,5020,11383,33489
6955,554,2819,5896,17930
1923,121,520,989,2079
3260,251,1165,1634,3486
2014,170,747,1338,3104
69,3,13,38,57
2680,235,843,1739,4292
1880,75,416,533,1265
0,0,0,1,0
2052,118,462,830,1680
3305,258,1229,1793,3508
2852,180,792,1079,2278
2515,113,425,641,1341
2104,136,574,900,1618
340,34,139,265,639
619,69,328,871,3536
3639,258,1129,1451,3381
2837,170,848,1410,3005
1498,66,329,865,2478
3020,200,846,1310,2753
6794,375,1865,3883,12335
2339,245,1551,3857,13669
2458,151,713,1357,3051
2126,195,916,1559,3350
2938,219,1177,1969,4015
94,5,21,32,96
8753,504,2650,5094,16203
2536,32,164,314,620
3339,196,1122,2193,5567
5756,357,1598,2652,5310
3181,242,1094,1980,4389
2777,205,1026,1841,4071
2672,167,837,1111,2271
1972,158,881,1402,3444
2243,136,521,856,1670
363,34,123,250,792
2085,161,843,1502,3299
1935,168,824,1481,3160
60,1,28,27,62
1854,159,912,1468,3459
1661,79,337,529,1099
2037,145,686,980,2161
1393,90,500,930,2020
1851,158,820,1401,2809
1825,49,266,441,1028
3077,247,968,1604,3437
1626,118,680,837,1892
1973,124,555,1084,2566
2390,214,1004,1553,3602
2067,165,874,1311,3050
2072,184,763,1245,2713
3174,182,732,1132,2777
2343,163,862,1591,3625
1711,73,352,709,1628
1815,92,447,731,1737
2316,150,821,1267,2817
1874,90,340,511,1054
2012,147,774,1290,2609
2158,123,651,1018,2161
122,5,20,36,81
154,3,19,24,54
1947,128,743,1177,2594
1298,58,323,1056,3082
4225,136,771,1459,4092
1343,104,255,608,1404
1863,155,703,1184,3032
1814,105,514,823,1911
1897,103,589,1015,2346
1758,130,619,1178,2561
1792,144,862,1307,3056
1525,151,695,978,2261
1941,153,728,1295,3114
1832,112,548,913,2067
1508,112,603,927,1846
1729,132,657,1111,2634
3266,240,703,942,1887
2535,125,532,737,1721
6522,643,3034,4905,13624
5384,325,1489,3264,10777
1927,163,828,1249,3009
110,12,39,72,178
1619,145,738,1015,2037
1727,120,454,836,1999
1748,100,374,808,1857
1686,180,962,1492,3318
1786,106,541,880,2075
4210,313,1806,3607,10234
2684,258,1237,2184,5391
2129,209,926,1465,3549
1756,133,578,1006,2522
1675,137,680,1110,2499
72,0,17,29,65
1858,169,620,1043,2178
1809,143,651,1128,2836
1193,92,395,735,1703
73,10,41,35,94
1365,29,156,346,999
4063,201,617,994,1956
100,10,25,30,55
1287,65,277,499,1043
1921,141,815,1301,2968
2957,201,792,1344,2722
1659,84,434,900,2121
1881,98,638,1080,2615
91,3,20,15,49
88,1,18,23,44
122,0,4,4,2
162,13,40,48,61
1381,78,484,801,1970
1345,74,99,189,445
1159,75,324,556,1110
1535,127,683,1160,2404
1369,85,252,305,502
1676,91,357,733,1651
1778,125,743,1303,3229
1202,33,147,284,680
2289,174,746,1150,2579
5264,335,1516,2258,4854
67,1,11,39,58
1529,102,381,465,686
31,0,12,1,14
520,19,40,77,181
112,2,17,17,41
1200,40,156,330,628
2526,140,554,872,1738
1778,111,565,906,2331
115,3,7,20,40
1977,115,461,753,1416
189,30,68,86,247
2435,168,864,1430,2972
1661,128,691,1221,2754
1614,169,829,1426,3328
1787,103,401,803,2089
1266,73,239,449,874
3527,260,1193,1857,4131
1817,129,588,1009,2266
1855,349,499,736,1730
1876,137,673,1160,2805
2578,187,671,1057,2018
2068,124,606,1059,2207
2994,288,1604,2964,8263
973,78,229,464,1113
2840,246,957,1123,2581
1884,179,1078,2326,7148
1591,116,539,952,1962
1162,54,288,321,674
4580,198,878,1601,4241
1354,116,542,914,2154
3553,220,1004,1712,3515
1926,74,211,271,451
836,38,185,308,604
1810,122,656,1125,2724
1527,121,550,991,2385
1091,70,169,284,492
1356,78,236,337,635
1299,166,557,887,1980
3244,267,1235,1908,4449
1753,109,561,985,2172
1067,42,170,234,440
1180,55,294,600,1178
868,42,176,206,436
2035,128,704,1310,3119
2113,186,742,1480,2997
110,2,31,29,45
1250,39,166,311,582
1216,70,279,365,816
2582,166,877,1450,3553
767,32,116,204,419
1146,63,270,426,881
1319,92,410,431,906
3476,166,877,1318,3077
985,18,149,249,615
24,0,3,3,12
1141,48,308,359,735
1139,72,227,339,619
1082,52,295,541,1203
1111,57,283,472,845
1510,54,185,420,822
1185,38,91,222,490
1160,129,563,801,1916
1580,132,620,1131,2463
1353,122,567,731,1534
2333,157,767,1218,3212
1593,85,396,631,1574
1024,54,239,327,707
1972,183,800,1226,2731
1202,87,446,889,1915
880,31,111,146,336
1705,91,432,784,1481
1394,73,204,368,655
3490,216,912,1709,3272
2474,167,883,1357,3312
947,63,204,350,839
239,8,37,60,108
2180,162,731,1364,3311
1790,121,570,1007,2261
921,39,109,191,453
2142,181,909,1581,3484
1413,130,629,1061,2763
3643,202,876,1337,2719
1096,53,163,284,484
1006,65,258,340,745
839,49,124,236,584
1062,83,295,343,646
1137,50,170,348,754
1480,87,443,770,1746
1605,88,565,898,1834
910,39,170,174,353
2655,159,795,1836,4989
995,64,218,299,568
1162,47,255,280,568
1291,34,164,266,496
1834,139,689,1050,2424
3327,195,893,1252,2581
1014,48,175,352,739
1135,78,240,351,593
2016,154,735,1313,2854
1149,58,217,337,606
423,25,40,75,174
1059,34,207,274,548
1024,39,93,172,344
1175,80,271,388,788
1791,107,613,1186,2712
64,6,12,22,45
3176,193,611,1006,2060
888,30,185,262,533
1546,123,609,959,2209
1199,72,410,800,1642
993,49,187,257,500
1502,128,552,982,2321
2516,114,641,980,2317
951,75,177,330,589
1421,104,435,665,1439
1408,58,304,617,1467
831,28,97,160,385
721,15,68,108,264
1388,44,196,433,885
1151,52,200,322,622
1062,80,264,371,747
1195,48,187,270,543
4134,319,1320,2243,5135
1130,20,98,204,435
1335,69,334,546,1153
1097,47,162,284,599
1144,102,480,764,1781
2021,112,326,350,558
1046,51,172,263,455
3045,205,1022,1411,3160
1084,31,241,422,923
1293,75,280,519,1102
1085,42,160,314,555
804,63,228,334,742
873,28,132,162,331
1338,82,157,238,391
1320,48,365,810,1717
1085,65,182,336,658
2797,194,832,1355,2787
863,35,148,188,328
914,45,173,229,510
1116,39,135,247,458
943,44,168,242,410
738,55,149,252,434
1130,39,155,300,568
3471,248,895,1254,2863
954,89,346,766,1574
1405,60,355,631,1567
1147,50,167,278,574
1154,73,246,418,875
791,26,170,215,460
984,48,163,272,560
1702,124,622,969,1895
1551,130,631,946,2263
1079,36,183,220,439
1731,176,820,1321,3016
978,48,189,325,761
1206,96,590,1028,2289
1169,52,237,368,793
1071,59,202,342,602
1373,53,220,373,704
2344,104,517,767,1466
716,42,74,154,285
3225,234,863,1333,2872
1805,127,582,937,2252
973,23,228,285,525
704,67,164,313,708
915,37,201,280,524
1115,67,315,494,1087
3535,85,374,744,1462
1211,39,213,327,593
1691,61,175,339,738
2291,160,588,1049,2488
1054,53,216,277,532
797,43,134,215,381
928,48,155,236,441
2040,122,771,1799,5844
1015,48,220,326,541
2333,94,425,821,1725
1666,95,302,430,928
2626,196,1059,1736,3931
1129,47,88,151,310
1798,74,339,714,1573
2291,151,797,1330,3089
886,42,147,263,536
1198,53,275,343,543
10532,671,3410,6277,18366
3289,225,1252,1812,4767
2235,102,545,812,1991
848,60,148,212,438
860,43,183,168,393
822,53,123,173,451
1031,63,205,280,587
770,52,223,338,675
1068,86,357,660,1729
955,64,222,319,547
52,1,4,6,42
694,34,160,225,480
1015,25,171,242,441
972,69,221,328,581
919,58,138,188,364
1263,55,311,793,1594
899,11,33,76,129
883,29,96,190,344
2822,183,957,1739,4340
4511,305,1252,1990,4370
924,35,151,261,490
966,36,165,214,483
3781,286,1237,1879,3983
884,39,162,253,517
1223,86,407,597,1481
1172,83,523,813,1977
880,49,128,220,426
873,48,184,328,561
849,35,168,208,450
